name,brand,family,model,cores,threads,base_ghz,boost_ghz,process_nm,release_year
Intel Core i3-2120,Intel,,Core i3-2120,2,,,,,
Intel Core i3-4170,Intel,,Core i3-4170,2,,,,,
AMD EPYC 4344P,AMD,,EPYC 4344P,8,,,5.3,,
Intel Core i9-7920X,Intel,,Core i9-7920X,12,,,4.4,,
Intel Xeon E5-2620,Intel,,Xeon E5-2620,6,,,,,
Intel Core i9-9980XE,Intel,,Core i9-9980XE,18,,,4.4,,
AMD Ryzen 3 1200 (12nm),AMD,,Ryzen 3 1200 (12nm),4,,,3.4,,
Intel Core i5-4430,Intel,,Core i5-4430,4,,,,,
Intel Core i7-920,Intel,,Core i7-920,4,,,,,
Intel Core i7-4960X Extreme Edition,Intel,,Core i7-4960X Extreme Edition,6,,,4.0,,
Intel Core i5-4670,Intel,,Core i5-4670,4,,,,,
AMD Threadripper 1900X,AMD,,Threadripper 1900X,8,,,4.0,,
Intel Xeon E5-2630 V3,Intel,,Xeon E5-2630 V3,8,,,3.2,,
AMD A8-9600,AMD,,A8-9600,4,,,3.4,,
Intel Core i7-5930K,Intel,,Core i7-5930K,6,,,3.7,,
AMD FX-6100,AMD,,FX-6100,6,,,,,
Intel Core i7-13700T,Intel,,Core i7-13700T,16,,,4.9,,
Intel Core i5-750,Intel,,Core i5-750,4,,,,,
Intel Xeon E5-2697 V4,Intel,,Xeon E5-2697 V4,18,,,3.6,,
AMD Athlon II X4 640,AMD,,Athlon II X4 640,4,,,,,
AMD Ryzen 9 3900,AMD,,Ryzen 9 3900,12,,,,,
Intel Core i3-8350K,Intel,,Core i3-8350K,4,,,,,
Intel Core i5-3330,Intel,,Core i5-3330,4,,,,,
Intel Core i7-3930K,Intel,,Core i7-3930K,6,,,,,
AMD FX-4350,AMD,,FX-4350,4,,,,,
Intel Xeon E5-2697 V2,Intel,,Xeon E5-2697 V2,12,,,3.5,,
Intel Core i7-6900K,Intel,,Core i7-6900K,8,,,3.7,,
Intel Xeon E5-2683 V4,Intel,,Xeon E5-2683 V4,16,,,3.0,,
AMD EPYC 4364P,AMD,,EPYC 4364P,8,,,5.4,,
Intel Xeon E5-1620 V2,Intel,,Xeon E5-1620 V2,4,,,3.9,,
AMD Ryzen 5 PRO 7645,AMD,,Ryzen 5 PRO 7645,6,,,5.1,,
Intel Core i9-10940X,Intel,,Core i9-10940X,14,,,4.8,,
AMD FX-8370,AMD,,FX-8370,8,,,4.3,,
Intel Core i7-8700T,Intel,,Core i7-8700T,6,,,4.0,,
AMD A8-7600,AMD,,A8-7600,4,,,3.8,,
Intel Xeon E5-2690 V4,Intel,,Xeon E5-2690 V4,14,,,3.5,,
Intel Core i5-13600,Intel,,Core i5-13600,14,,,5.0,,
Intel Celeron G5925,Intel,,Celeron G5925,2,,,,,
AMD EPYC 4584PX,AMD,,EPYC 4584PX,16,,,5.7,,
Intel Core i7-860,Intel,,Core i7-860,4,,,,,
Intel Core i7-6700T,Intel,,Core i7-6700T,4,,,3.6,,
Intel Xeon E5-2670 V3,Intel,,Xeon E5-2670 V3,12,,,3.1,,
Intel Core i3-4160,Intel,,Core i3-4160,2,,,,,
Intel Xeon E5-2699 V3,Intel,,Xeon E5-2699 V3,18,,,3.6,,
Intel Pentium Gold G5400,Intel,,Pentium Gold G5400,2,,,,,
Intel Xeon E5-2680 V3,Intel,,Xeon E5-2680 V3,12,,,3.3,,
Intel Core i5-7400T,Intel,,Core i5-7400T,4,,,3.0,,
Intel Core i7-7740X,Intel,,Core i7-7740X,4,,,4.5,,
AMD Ryzen 7 PRO 7745,AMD,,Ryzen 7 PRO 7745,8,,,5.3,,
Intel Core i9-7980XE,Intel,,Core i9-7980XE,18,,,4.4,,
Intel Core i7-990X Extreme Edition,Intel,,Core i7-990X Extreme Edition,6,,,,,
Intel Core i7-3820,Intel,,Core i7-3820,4,,,,,
Intel Core i5-3450,Intel,,Core i5-3450,4,,,,,
Intel Xeon E5-2650,Intel,,Xeon E5-2650,8,,,2.8,,
AMD FX-4300,AMD,,FX-4300,4,,,,,
Intel Xeon E5-1630 V4,Intel,,Xeon E5-1630 V4,4,,,4.0,,
Intel Core 2 Quad Q9300,Intel,,Core 2 Quad Q9300,4,,,,,
Intel Core i3-3240,Intel,,Core i3-3240,2,,,,,
AMD A10-7700K,AMD,,A10-7700K,4,,,3.8,,
AMD Phenom II X6 1090T Black,AMD,,Phenom II X6 1090T Black,6,,,,,
Intel Core i7-980X Extreme Edition,Intel,,Core i7-980X Extreme Edition,6,,,,,
Intel Core 2 Quad Q6600,Intel,,Core 2 Quad Q6600,4,,,,,
Intel Xeon E5-1620 V3,Intel,,Xeon E5-1620 V3,4,,,3.6,,
Intel Core i7-4820K,Intel,,Core i7-4820K,4,,,3.9,,
Intel Xeon E5-2660 V3,Intel,,Xeon E5-2660 V3,10,,,3.3,,
Intel Core i9-7960X,Intel,,Core i9-7960X,16,,,4.4,,
AMD FX-6120,AMD,,FX-6120,6,,,4.1,,
Intel Xeon E3-1230 V2,Intel,,Xeon E3-1230 V2,4,,,,,
Intel Core i7-9800X,Intel,,Core i7-9800X,8,,,4.5,,
Intel Core i5-9500F,Intel,,Core i5-9500F,6,,,4.4,,
Intel Core i5-8400T,Intel,,Core i5-8400T,6,,,3.3,,
Intel Xeon E3-1231 V3,Intel,,Xeon E3-1231 V3,4,,,3.8,,
Intel Core i7-3770S,Intel,,Core i7-3770S,4,,,,,
Intel Xeon E5-2680,Intel,,Xeon E5-2680,8,,,3.5,,
Intel Core i5-9500T,Intel,,Core i5-9500T,6,,,3.7,,
Intel Core i3-10100T,Intel,,Core i3-10100T,4,,,3.8,,
Intel Core i7-7700T,Intel,,Core i7-7700T,4,,,3.8,,
Intel Core i3-13100T,Intel,,Core i3-13100T,4,,,4.2,,
AMD A8-6600K,AMD,,A8-6600K,4,,,,,
Intel Pentium G3258,Intel,,Pentium G3258,2,,,,,
Intel Core i5-650,Intel,,Core i5-650,2,,,,,
Intel Core i7-5775C,Intel,,Core i7-5775C,4,,,3.7,,
AMD 5350,AMD,,5350,4,,,,,
Intel Core 2 Quad Q9650,Intel,,Core 2 Quad Q9650,4,,,,,
AMD Phenom II X6 1100T Black,AMD,,Phenom II X6 1100T Black,6,,,,,
Intel Core i7-4790S,Intel,,Core i7-4790S,4,,,4.0,,
AMD A10-7850K,AMD,,A10-7850K,4,,,4.0,,
Intel Celeron G3900,Intel,,Celeron G3900,2,,,,,
AMD Athlon II 160u,AMD,,Athlon II 160u,1,,,,,
Intel Xeon E5-2697 V3,Intel,,Xeon E5-2697 V3,14,,,3.6,,
Intel Xeon E3-1270 V3,Intel,,Xeon E3-1270 V3,4,,,3.9,,
Intel Core i5-6402P,Intel,,Core i5-6402P,4,,,3.4,,
Intel Core 2 Quad Q9550,Intel,,Core 2 Quad Q9550,4,,,,,
Intel Core 2 Duo E7500,Intel,,Core 2 Duo E7500,2,,,,,
Intel Core i7-950,Intel,,Core i7-950,4,,,,,
AMD A10-6800K,AMD,,A10-6800K,4,,,,,
Intel Xeon E5-2695 V4,Intel,,Xeon E5-2695 V4,18,,,3.3,,
Intel Core i7-3970X Extreme Edition,Intel,,Core i7-3970X Extreme Edition,6,,,,,
AMD A10-9700,AMD,,A10-9700,4,,,3.8,,
Intel Core i5-4570S,Intel,,Core i5-4570S,4,,,,,
AMD A8-7680,AMD,,A8-7680,4,,,3.8,,
Intel Core i3-10300,Intel,,Core i3-10300,4,,,4.4,,
Intel Core i9-9900X,Intel,,Core i9-9900X,10,,,4.4,,
AMD Phenom II X4 820,AMD,,Phenom II X4 820,4,,,,,
AMD Phenom II X4 965 Black,AMD,,Phenom II X4 965 Black,4,,,,,
Intel Core 2 Extreme QX9770,Intel,,Core 2 Extreme QX9770,4,,,,,
Intel Core i5-6500T,Intel,,Core i5-6500T,4,,,3.1,,
Intel Core i7-870,Intel,,Core i7-870,4,,,,,
Intel Core i3-6300,Intel,,Core i3-6300,2,,,,,
Intel Xeon E5-2640 V4,Intel,,Xeon E5-2640 V4,10,,,3.4,,
Intel Core i7-3960X Extreme Edition,Intel,,Core i7-3960X Extreme Edition,6,,,,,
Intel Xeon E5-2680 V2,Intel,,Xeon E5-2680 V2,10,,,3.6,,
AMD A10-7800,AMD,,A10-7800,4,,,3.9,,
Intel Core i7-10700K Avengers Collector's Edition,Intel,,Core i7-10700K Avengers Collector's Edition,8,,,5.1,,
Intel Core i5-3550,Intel,,Core i5-3550,4,,,,,
Intel Core i3-7350K,Intel,,Core i3-7350K,2,,,,,
Intel Xeon E5-2630,Intel,,Xeon E5-2630,6,,,,,
AMD Athlon X4 860K,AMD,,Athlon X4 860K,4,,,4.0,,
Intel Pentium G4600,Intel,,Pentium G4600,2,,,,,
Intel Xeon E-2288G,Intel,,Xeon E-2288G,8,,,5.0,,
Intel Xeon E5-2695 V3,Intel,,Xeon E5-2695 V3,14,,,3.3,,
Intel Pentium Gold G6405,Intel,,Pentium Gold G6405,2,,,,,
Intel Core i5-2320,Intel,,Core i5-2320,4,,,,,
Intel Core i5-4590S,Intel,,Core i5-4590S,4,,,3.7,,
Intel Core i3-9100T,Intel,,Core i3-9100T,4,,,3.7,,
Intel Core i5-760,Intel,,Core i5-760,4,,,,,
Intel Pentium G645,Intel,,Pentium G645,2,,,,,
Intel Xeon E3-1240 V2,Intel,,Xeon E3-1240 V2,4,,,,,
Intel Core i3-7320,Intel,,Core i3-7320,2,,,,,
Intel Xeon E5-1620 V4,Intel,,Xeon E5-1620 V4,4,,,3.8,,
Intel Core i3-10320,Intel,,Core i3-10320,4,,,4.6,,
AMD FX-4100,AMD,,FX-4100,4,,,,,
Intel Xeon E3-1240L V5,Intel,,Xeon E3-1240L V5,4,,,3.2,,
Intel Xeon E3-1245 V6,Intel,,Xeon E3-1245 V6,4,,,4.1,,
Intel Xeon E5-1660 V3,Intel,,Xeon E5-1660 V3,8,,,3.5,,
Intel Core i3-2120T,Intel,,Core i3-2120T,2,,,,,
Intel Core i7-4771,Intel,,Core i7-4771,4,,,3.9,,
AMD A8-7650K,AMD,,A8-7650K,4,,,3.7,,
Intel Core i9-9900T,Intel,,Core i9-9900T,8,,,4.4,,
Intel Core i5-3470S,Intel,,Core i5-3470S,4,,,,,
Intel Core i9-10850KA Avengers Limited Edition,Intel,,Core i9-10850KA Avengers Limited Edition,10,,,5.2,,
AMD FX-8320E,AMD,,FX-8320E,8,,,4.0,,
Intel Xeon E5-1650 V3,Intel,,Xeon E5-1650 V3,6,,,3.8,,
Intel Celeron G4900,Intel,,Celeron G4900,2,,,,,
Intel Xeon E-2286G,Intel,,Xeon E-2286G,6,,,4.9,,
Intel Core i7-960,Intel,,Core i7-960,4,,,,,
Intel Xeon E3-1230 V3,Intel,,Xeon E3-1230 V3,4,,,3.7,,
Intel Xeon E3-1241 V3,Intel,,Xeon E3-1241 V3,4,,,3.9,,
Intel Core i9-9960X,Intel,,Core i9-9960X,16,,,4.4,,
AMD Phenom II X6 1055T,AMD,,Phenom II X6 1055T,6,,,,,
Intel Pentium G3220,Intel,,Pentium G3220,2,,,,,
AMD A6-7400K,AMD,,A6-7400K,2,,,3.9,,
Intel Core i7-2600S,Intel,,Core i7-2600S,4,,,,,
Intel Celeron 440,Intel,,Celeron 440,1,,,,,
Intel Core i3-3250,Intel,,Core i3-3250,2,,,,,
Intel Xeon E5-2620 V3,Intel,,Xeon E5-2620 V3,6,,,3.2,,
Intel Xeon E5-2630 V2,Intel,,Xeon E5-2630 V2,6,,,3.1,,
Intel Xeon E5-2660 V4,Intel,,Xeon E5-2660 V4,14,,,3.2,,
Intel Pentium G2020,Intel,,Pentium G2020,2,,,,,
Intel Core i5-3350P,Intel,,Core i5-3350P,4,,,,,
Intel Xeon E5-2667 V2,Intel,,Xeon E5-2667 V2,8,,,4.0,,
Intel Core 2 Extreme QX9775,Intel,,Core 2 Extreme QX9775,4,,,,,
AMD A10-6700,AMD,,A10-6700,4,,,,,
AMD Athlon 220GE,AMD,,Athlon 220GE,2,,,,,
Intel Core i3-9350KF,Intel,,Core i3-9350KF,4,,,4.6,,
Intel Core i5-2400S,Intel,,Core i5-2400S,4,,,,,
Intel Xeon E3-1275 V2,Intel,,Xeon E3-1275 V2,4,,,,,
Intel Pentium G2030,Intel,,Pentium G2030,2,,,,,
Intel Xeon E5-2670,Intel,,Xeon E5-2670,8,,,3.3,,
Intel Xeon E5-2650 V3,Intel,,Xeon E5-2650 V3,10,,,3.0,,
AMD Phenom II X4 955 Black,AMD,,Phenom II X4 955 Black,4,,,,,
AMD A10-5800K,AMD,,A10-5800K,4,,,,,
Intel Xeon E5-2650L V2,Intel,,Xeon E5-2650L V2,10,,,2.1,,
Intel Xeon E5-2640 V3,Intel,,Xeon E5-2640 V3,8,,,3.4,,
Intel Core i5-7640X,Intel,,Core i5-7640X,4,,,4.2,,
AMD A6-9500,AMD,,A6-9500,2,,,3.8,,
Intel Xeon E5-1680 V3,Intel,,Xeon E5-1680 V3,8,,,3.8,,
AMD A12-9800E,AMD,,A12-9800E,4,,,3.8,,
Intel Core i3-9300,Intel,,Core i3-9300,4,,,4.3,,
Intel Core i3-540,Intel,,Core i3-540,2,,,,,
AMD Athlon II X2 250,AMD,,Athlon II X2 250,2,,,,,
Intel Core i5-2300,Intel,,Core i5-2300,4,,,,,
AMD A6-3670K,AMD,,A6-3670K,4,,,,,
Intel Xeon E3-1240 V3,Intel,,Xeon E3-1240 V3,4,,,3.8,,
Intel Xeon E5-2695 V2,Intel,,Xeon E5-2695 V2,12,,,3.2,,
Intel Xeon E3-1270 V5,Intel,,Xeon E3-1270 V5,4,,,4.0,,
AMD A10-7890K,AMD,,A10-7890K,4,,,4.3,,
Intel Core i5-4460S,Intel,,Core i5-4460S,4,,,3.4,,
Intel Core i3-8300,Intel,,Core i3-8300,4,,,,,
Intel Core i3-8100T,Intel,,Core i3-8100T,4,,,,,
Intel Core i7-9700T,Intel,,Core i7-9700T,8,,,4.3,,
Intel Pentium G630,Intel,,Pentium G630,2,,,,,
Intel Xeon E5-2650L,Intel,,Xeon E5-2650L,8,,,2.3,,
Intel Core i5-2310,Intel,,Core i5-2310,4,,,,,
AMD FX-9370,AMD,,FX-9370,8,,,4.7,,
Intel Xeon E5-2650 V2,Intel,,Xeon E5-2650 V2,8,,,3.4,,
Intel Xeon E-2236,Intel,,Xeon E-2236,6,,,4.8,,
AMD A10-7870K,AMD,,A10-7870K,4,,,4.1,,
Intel Core i7-4790T,Intel,,Core i7-4790T,4,,,3.9,,
AMD A12-9800,AMD,,A12-9800,4,,,4.2,,
Intel Core 2 Quad Q8400,Intel,,Core 2 Quad Q8400,4,,,,,
AMD FX-8120,AMD,,FX-8120,8,,,,,
Intel Xeon E3-1270 V2,Intel,,Xeon E3-1270 V2,4,,,,,
AMD Opteron 6378,AMD,,Opteron 6378,16,,,3.3,,
AMD Athlon X4 950,AMD,,Athlon X4 950,4,,,3.8,,
Intel Celeron 430,Intel,,Celeron 430,1,,,,,
Intel Xeon E5-1650 V2,Intel,,Xeon E5-1650 V2,6,,,3.9,,
Intel Core i7-880,Intel,,Core i7-880,4,,,,,
Intel Core i5-3340,Intel,,Core i5-3340,4,,,3.3,,
Intel Xeon E5-2690 V3,Intel,,Xeon E5-2690 V3,12,,,3.5,,
Intel Xeon E5-2650L V4,Intel,,Xeon E5-2650L V4,14,,,2.5,,
Intel Core i5-4590T,Intel,,Core i5-4590T,4,,,,,
Intel Pentium Gold G5400T,Intel,,Pentium Gold G5400T,2,,,,,
Intel Xeon E5-2698 V3,Intel,,Xeon E5-2698 V3,16,,,3.6,,
AMD A6-9500E,AMD,,A6-9500E,2,,,3.4,,
Intel Core 2 Duo E4300,Intel,,Core 2 Duo E4300,2,,,,,
Intel Core 2 Duo E8600,Intel,,Core 2 Duo E8600,2,,,,,
AMD Sempron 140,AMD,,Sempron 140,1,,,,,
AMD FX-8150,AMD,,FX-8150,8,,,,,
Intel Xeon E3-1220 V2,Intel,,Xeon E3-1220 V2,4,,,,,
Intel Core i3-4330,Intel,,Core i3-4330,2,,,,,
Intel Xeon E3-1245 V3,Intel,,Xeon E3-1245 V3,4,,,3.8,,
Intel Xeon E5-2687W V3,Intel,,Xeon E5-2687W V3,10,,,3.5,,
Intel Core i3-6100T,Intel,,Core i3-6100T,2,,,,,
Intel Xeon E5-2620 V4,Intel,,Xeon E5-2620 V4,8,,,3.0,,
Intel Core i9-7940X,Intel,,Core i9-7940X,14,,,4.4,,
Intel Xeon E3-1220 V3,Intel,,Xeon E3-1220 V3,4,,,3.5,,
AMD Athlon II X4 635,AMD,,Athlon II X4 635,4,,,,,
Intel Core i7-980,Intel,,Core i7-980,6,,,,,
Intel Pentium E2160,Intel,,Pentium E2160,2,,,,,
Intel Core i5-3450S,Intel,,Core i5-3450S,4,,,,,
AMD Phenom II X4 945,AMD,,Phenom II X4 945,4,,,,,
Intel Pentium E5300,Intel,,Pentium E5300,2,,,,,
Intel Core i7-930,Intel,,Core i7-930,4,,,,,
AMD A8-5500,AMD,,A8-5500,4,,,,,
AMD Athlon X2 370K,AMD,,Athlon X2 370K,2,,,,,
Intel Xeon E3-1271 V3,Intel,,Xeon E3-1271 V3,4,,,4.0,,
Intel Xeon E5-1650,Intel,,Xeon E5-1650,6,,,3.8,,
Intel Xeon E5-2637 V3,Intel,,Xeon E5-2637 V3,4,,,3.7,,
Intel Core i5-6400T,Intel,,Core i5-6400T,4,,,2.8,,
Intel Xeon E3-1230 V6,Intel,,Xeon E3-1230 V6,4,,,3.9,,
Intel Core i7-875K,Intel,,Core i7-875K,4,,,,,
AMD Phenom II X4 955,AMD,,Phenom II X4 955,4,,,,,
Intel Celeron G440,Intel,,Celeron G440,1,,,,,
AMD A8-5600K,AMD,,A8-5600K,4,,,,,
AMD A6-5400K,AMD,,A6-5400K,2,,,,,
Intel Core i3-3210,Intel,,Core i3-3210,2,,,,,
Intel Xeon E5-2670 V2,Intel,,Xeon E5-2670 V2,10,,,3.3,,
Intel Core i5-4440S,Intel,,Core i5-4440S,4,,,3.3,,
AMD 3850,AMD,,3850,4,,,,,
Intel Xeon E-2278G,Intel,,Xeon E-2278G,8,,,5.0,,
Intel Core 2 Quad Q9550S,Intel,,Core 2 Quad Q9550S,4,,,,,
Intel Core i3-2100T,Intel,,Core i3-2100T,2,,,,,
Intel Xeon E5-2603 V3,Intel,,Xeon E5-2603 V3,6,,,,,
Intel Xeon E5-2609 V4,Intel,,Xeon E5-2609 V4,8,,,,,
Intel Core i3-550,Intel,,Core i3-550,2,,,,,
AMD Phenom II X6 1075T,AMD,,Phenom II X6 1075T,6,,,,,
AMD Phenom II X4 940 Black,AMD,,Phenom II X4 940 Black,4,,,,,
Intel Pentium E5800,Intel,,Pentium E5800,2,,,,,
Intel Core i3-2130,Intel,,Core i3-2130,2,,,,,
Intel Pentium G3240,Intel,,Pentium G3240,2,,,,,
AMD A4-7300,AMD,,A4-7300,2,,,4.0,,
Intel Xeon E3-1240 V5,Intel,,Xeon E3-1240 V5,4,,,3.9,,
AMD A10-7860k,AMD,,A10-7860k,4,,,4.0,,
Intel Core i3-6098P,Intel,,Core i3-6098P,2,,,,,
Intel Xeon E3-1285 V6,Intel,,Xeon E3-1285 V6,4,,,4.5,,
Intel Xeon E5-4650,Intel,,Xeon E5-4650,8,,,3.3,,
AMD Athlon II X4 620,AMD,,Athlon II X4 620,4,,,,,
Intel Xeon E3-1245 V2,Intel,,Xeon E3-1245 V2,4,,,,,
Intel Xeon E5-2687W V2,Intel,,Xeon E5-2687W V2,8,,,4.0,,
Intel Core i5-5675C,Intel,,Core i5-5675C,4,,,3.6,,
Intel Pentium E2140,Intel,,Pentium E2140,2,,,,,
Intel Core i5-4690S,Intel,,Core i5-4690S,4,,,3.9,,
Intel Pentium G3250,Intel,,Pentium G3250,2,,,,,
Intel Core i5-6600T,Intel,,Core i5-6600T,4,,,3.5,,
Intel Xeon E3-1245 V5,Intel,,Xeon E3-1245 V5,4,,,3.9,,
Intel Pentium G3260,Intel,,Pentium G3260,2,,,,,
Intel Xeon E-2176G,Intel,,Xeon E-2176G,6,,,4.7,,
Intel Core 2 Duo E6400,Intel,,Core 2 Duo E6400,2,,,,,
Intel Core i7-940,Intel,,Core i7-940,4,,,,,
AMD Athlon II X4 630,AMD,,Athlon II X4 630,4,,,,,
Intel Celeron G530,Intel,,Celeron G530,2,,,,,
Intel Celeron G1610,Intel,,Celeron G1610,2,,,,,
Intel Celeron G4930,Intel,,Celeron G4930,2,,,,,
Intel Core 2 Quad Q8200,Intel,,Core 2 Quad Q8200,4,,,,,
AMD Athlon II X2 270,AMD,,Athlon II X2 270,2,,,,,
Intel Pentium G640T,Intel,,Pentium G640T,2,,,,,
AMD A4-5300,AMD,,A4-5300,2,,,,,
AMD A8-6500,AMD,,A8-6500,4,,,,,
AMD A10-5700,AMD,,A10-5700,4,,,,,
Intel Celeron G4920,Intel,,Celeron G4920,2,,,,,
Intel Core 2 Quad Q9400,Intel,,Core 2 Quad Q9400,4,,,,,
AMD Phenom II X4 970 Black,AMD,,Phenom II X4 970 Black,4,,,,,
AMD Phenom II X4 980 Black,AMD,,Phenom II X4 980 Black,4,,,,,
Intel Pentium G620,Intel,,Pentium G620,2,,,,,
AMD Phenom II X6 1045T,AMD,,Phenom II X6 1045T,6,,,,,
AMD A4-4000,AMD,,A4-4000,2,,,,,
AMD Athlon X4 750K,AMD,,Athlon X4 750K,4,,,,,
Intel Pentium G3420,Intel,,Pentium G3420,2,,,,,
Intel Core i3-4160T,Intel,,Core i3-4160T,2,,,,,
AMD FX-8310,AMD,,FX-8310,8,,,4.3,,
Intel Xeon E3-1230 V5,Intel,,Xeon E3-1230 V5,4,,,3.8,,
Intel Core i5-3570S,Intel,,Core i5-3570S,4,,,3.8,,
Intel Core i5-8600T,Intel,,Core i5-8600T,6,,,3.7,,
Intel Xeon E-2136,Intel,,Xeon E-2136,6,,,4.5,,
Intel Celeron G3920,Intel,,Celeron G3920,2,,,,,
Intel Core i3-3245,Intel,,Core i3-3245,2,,,,,
Intel Xeon E5-2630L V3,Intel,,Xeon E5-2630L V3,8,,,2.9,,
AMD A10-9700E,AMD,,A10-9700E,4,,,3.5,,
Intel Xeon E-2274G,Intel,,Xeon E-2274G,4,,,4.9,,
Intel Core 2 Duo E4600,Intel,,Core 2 Duo E4600,2,,,,,
Intel Core 2 Duo E8500,Intel,,Core 2 Duo E8500,2,,,,,
Intel Core i7-970,Intel,,Core i7-970,6,,,,,
AMD Phenom II X4 965,AMD,,Phenom II X4 965,4,,,,,
Intel Pentium G2120,Intel,,Pentium G2120,2,,,,,
Intel Core i3-3225,Intel,,Core i3-3225,2,,,,,
Intel Core i3-4130T,Intel,,Core i3-4130T,2,,,,,
Intel Xeon E5-2687W,Intel,,Xeon E5-2687W,8,,,3.8,,
AMD FX-8370E,AMD,,FX-8370E,8,,,4.3,,
Intel Xeon E3-1265L V3,Intel,,Xeon E3-1265L V3,4,,,3.7,,
Intel Xeon E3-1280 V6,Intel,,Xeon E3-1280 V6,4,,,4.2,,
Intel Core i3-8300T,Intel,,Core i3-8300T,4,,,,,
